"Campaign name","Ad name","Image, video and slideshow","Ad Set Name",Reach,Impressions,"Attribution setting","Result type",Results,"Amount spent (USD)",Starts,Ends,"Link clicks","Cost per result","Reporting starts","Unique link clicks","Reporting ends"
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy (Emotional)",34110,44150,"7-day click or 1-day view","Meta Leads",124,1529.9933875526,2021-11-30,2021-12-20,368,12.338656351231,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare (Emotional)",30576,40824,"7-day click or 1-day view","Meta Leads",141,1352.1198607732,2021-11-30,2021-12-20,359,9.589502558675,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Climate Change (Factual V2)",21932,25846,"7-day click or 1-day view","Meta Leads",94,711.78204856303,2021-12-08,2021-12-20,305,7.5721494527982,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (Factual V2)",16449,19621,"7-day click or 1-day view","Meta Leads",71,658.75271784568,2021-12-08,2021-12-20,232,9.2782072936011,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual V2)",17743,20462,"7-day click or 1-day view","Meta Leads",62,653.82111355898,2021-12-08,2021-12-20,213,10.545501831596,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual V3)",41361,51689,"7-day click or 1-day view","Meta Leads",75,591.12424251497,2021-12-23,2022-01-04,223,7.8816565668663,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Lookalikes (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (Factual V2)",12235,13803,"7-day click or 1-day view","Meta Leads",82,479.75688931914,2021-12-08,2021-12-20,220,5.8506937721846,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy (Emotional)",16854,18904,"7-day click or 1-day view","Meta Leads",35,461.64225586659,2021-11-30,2021-12-20,132,13.189778739045,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)","Philanthropy (Emotional V3)",35513,45767,"7-day click or 1-day view","Meta Leads",64,458.81583508909,2021-12-23,2022-01-04,137,7.168997423267,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Global Poverty (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Global Poverty (Factual V2)",16210,18406,"7-day click or 1-day view","Meta Leads",53,420.76188183979,2021-12-08,2021-12-20,138,7.9389034309395,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","General Population (18-39)",16640,21789,"7-day click or 1-day view","Meta Leads",21,353.92,2022-01-07,2022-01-17,70,16.853333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Climate Change (Factual V3)",26192,32982,"7-day click or 1-day view","Meta Leads",43,325.2,2021-12-23,2022-01-04,118,7.5627906976744,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Climate Change (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Climate Change (Factual)",7186,9057,"7-day click or 1-day view","Meta Leads",15,319.36570148674,2021-11-30,2021-12-08,46,21.291046765783,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Philanthropy (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Philanthropy (Factual)",5313,6573,"7-day click or 1-day view","Meta Leads",11,288.03120300522,2021-11-30,2021-12-08,41,26.184654818657,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Animal Welfare (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Animal Welfare (Factual)",7604,8600,"7-day click or 1-day view","Meta Leads",11,283.57496895615,2021-11-30,2021-12-08,46,25.779542632377,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Climate Change (18-39)",21252,24872,"7-day click or 1-day view","Meta Leads",27,277.04,2022-01-07,2022-01-17,86,10.260740740741,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Climate Change (18-39)",9588,14241,"7-day click or 1-day view","Meta Leads",11,262.37,2022-01-07,2022-01-17,45,23.851818181818,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare (Emotional V3)",13960,18111,"7-day click or 1-day view","Meta Leads",29,261.38,2021-12-23,2022-01-04,79,9.0131034482759,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Lookalikes (Emotional)",4199,4837,"7-day click or 1-day view","Meta Leads",28,251.35585567087,2021-11-30,2021-12-20,57,8.9769948453881,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Philanthropy (18-39)",10556,15681,"7-day click or 1-day view","Meta Leads",22,241.87,2022-01-07,2022-01-17,61,10.994090909091,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy (Emotional)",3231,4638,"7-day click or 1-day view","Meta Leads",16,217.45431096152,2021-11-30,2021-12-20,45,13.590894435095,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy (Emotional V3)",12724,15212,"7-day click or 1-day view","Meta Leads",15,197.20864715828,2021-12-23,2022-01-04,50,13.147243143885,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (Factual V3)",16469,18991,"7-day click or 1-day view","Meta Leads",17,192.28,2021-12-23,2022-01-04,55,11.310588235294,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (Factual V2)",3209,4127,"7-day click or 1-day view","Meta Leads",24,189.98397376383,2021-12-08,2021-12-20,74,7.9159989068262,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Lookalikes (Emotional)",5890,6247,"7-day click or 1-day view","Meta Leads",25,184.31628577243,2021-11-30,2021-12-20,55,7.372651430897,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual V2)",4165,4675,"7-day click or 1-day view","Meta Leads",22,180.78942778714,2021-12-08,2021-12-20,81,8.2177012630517,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (Factual V3)",10828,12582,"7-day click or 1-day view","Meta Leads",20,173.84,2021-12-23,2022-01-04,43,8.692,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Lookalikes (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (Factual V2)",3949,4546,"7-day click or 1-day view","Meta Leads",29,164.73048909787,2021-12-08,2021-12-20,104,5.6803616930299,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare (Emotional)",2811,4084,"7-day click or 1-day view","Meta Leads",17,164.18476402079,2021-11-30,2021-12-20,47,9.6579272953408,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Climate Change (Factual V2)",3957,5008,"7-day click or 1-day view","Meta Leads",21,162.89614242455,2021-12-08,2021-12-20,80,7.7569591630738,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)","Lookalikes (Emotional V3)",9720,11130,"7-day click or 1-day view","Meta Leads",16,162.44,2021-12-23,2022-01-04,48,10.1525,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Global Poverty (Emotional)",7234,7693,"7-day click or 1-day view","Meta Leads",8,157.95475818669,2021-11-30,2021-12-20,29,19.744344773336,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Global Poverty (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Global Poverty (Factual)",3900,4428,"7-day click or 1-day view","Meta Leads",4,153.36,2021-11-30,2021-12-08,41,38.34,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (781123443286306)","Philanthropy (Emotional)",2920,3837,"7-day click or 1-day view","Meta Leads",10,150.59009804037,2021-11-30,2021-12-20,17,15.059009804037,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (781123426619641)","Animal Welfare (Emotional)",2722,3586,"7-day click or 1-day view","Meta Leads",13,146.51537520603,2021-11-30,2021-12-20,30,11.270413477387,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","General Population (18-39)",13036,15185,"7-day click or 1-day view","Meta Leads",15,144.58,2022-01-07,2022-01-17,39,9.6386666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","General Population (18-39)",8424,10342,"7-day click or 1-day view","Meta Leads",15,138.06,2022-01-07,2022-01-17,46,9.204,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (18-39)",11656,12396,"7-day click or 1-day view","Meta Leads",15,136.14,2022-01-07,2022-01-18,37,9.076,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Climate Change + Lookalikes (18-39)",4421,5520,"7-day click or 1-day view","Meta Leads",6,124.99,2022-01-07,2022-01-17,17,20.831666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy (18-39)",5712,6510,"7-day click or 1-day view","Meta Leads",3,124.9,2022-01-07,2022-01-18,26,41.633333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)","Global Poverty (Emotional V3)",9564,11812,"7-day click or 1-day view","Meta Leads",22,122.24,2021-12-23,2022-01-04,51,5.5563636363636,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Global Poverty (18-39)",5884,6986,"7-day click or 1-day view","Meta Leads",6,119.06,2022-01-07,2022-01-17,20,19.843333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare (18-39)",6080,7489,"7-day click or 1-day view","Meta Leads",12,114.8117227292,2022-01-07,2022-01-17,34,9.5676435607668,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Climate Change (18-39)",7832,9815,"7-day click or 1-day view","Meta Leads",8,106.27,2022-01-07,2022-01-17,31,13.28375,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Animal Welfare (18-39)",5274,6070,"7-day click or 1-day view","Meta Leads",3,102.59,2022-01-07,2022-01-17,21,34.196666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy (18-39)",6110,7024,"7-day click or 1-day view","Meta Leads",12,101.15,2022-01-07,2022-01-18,36,8.4291666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy (Emotional)",2386,2866,"7-day click or 1-day view","Meta Leads",16,87.753002779374,2021-11-30,2021-12-20,40,5.4845626737109,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Global Poverty (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Global Poverty (Factual V2)",2036,2403,"7-day click or 1-day view","Meta Leads",7,84.989763640293,2021-12-08,2021-12-20,34,12.141394805756,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Global Poverty (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Global Poverty (Factual V3)",8838,9903,"7-day click or 1-day view","Meta Leads",9,82.9,2021-12-23,2022-01-04,31,9.2111111111111,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","General Population (18-39)",6214,7437,"7-day click or 1-day view","Meta Leads",12,75.12,2022-01-07,2022-01-17,33,6.26,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (18-39)",5884,6472,"7-day click or 1-day view","Meta Leads",8,69.658910759762,2022-01-07,2022-01-17,27,8.7073638449703,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual V3)",3444,5089,"7-day click or 1-day view","Meta Leads",13,66.054943862275,2021-12-23,2022-01-04,28,5.0811495278673,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Climate Change + Lookalikes (18-39)",2437,2849,"7-day click or 1-day view","Meta Leads",6,52.037803163445,2022-01-07,2022-01-17,24,8.6729671939074,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1084969232319046)","Philanthropy (Emotional)",1463,1675,"7-day click or 1-day view","Meta Leads",3,49.168997666264,2021-11-30,2021-12-20,7,16.389665888755,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)","Animal Welfare (Emotional V3)",3350,3626,"7-day click or 1-day view","Meta Leads",12,47.97,2021-12-23,2022-01-04,18,3.9975,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Lookalikes (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Lookalikes (Factual)",463,536,"7-day click or 1-day view","Meta Leads",4,41.52,2021-11-30,2021-12-08,8,10.38,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Climate Change (Emotional)",1369,1707,"7-day click or 1-day view","Meta Leads",3,39.325596111883,2021-11-30,2021-12-20,39,13.108532037294,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Lookalikes (Emotional V3)",1323,1585,"7-day click or 1-day view","Meta Leads",3,36.26,2021-12-23,2022-01-04,15,12.086666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Philanthropy + Lookalikes (18-39)",931,1096,"7-day click or 1-day view","Meta Leads",1,35.53,2022-01-07,2022-01-17,4,35.53,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4 (241881881223781)","Philanthropy (Emotional)",536,716,"7-day click or 1-day view","Meta Leads",4,33.160953899919,2021-11-30,2021-12-20,8,8.2902384749798,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)","Philanthropy (Emotional V3)",2995,3146,"7-day click or 1-day view",,,32.454462738978,2021-12-23,2022-01-04,2,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Lookalikes (Emotional V3)",1466,1707,"7-day click or 1-day view","Meta Leads",4,32.2,2021-12-23,2022-01-04,7,8.05,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Lookalikes (Emotional)",336,408,"7-day click or 1-day view","Meta Leads",3,31.092990547015,2021-11-30,2021-12-20,5,10.364330182338,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Climate Change + Lookalikes (18-39)",1580,1811,"7-day click or 1-day view","Meta Leads",2,29.613059168131,2022-01-07,2022-01-17,8,14.806529584066,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Lookalikes (18-39)",960,1144,"7-day click or 1-day view","Meta Leads",3,29,2022-01-07,2022-01-17,7,9.6666666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Climate Change (Factual V3)",1499,2239,"7-day click or 1-day view","Meta Leads",3,27.63,2021-12-23,2022-01-04,13,9.21,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Climate Change (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Climate Change (Factual)",344,485,"7-day click or 1-day view","Meta Leads",3,26.106378841673,2021-11-30,2021-12-08,7,8.7021262805577,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy (Emotional)",757,853,"7-day click or 1-day view",,,25.719322512929,2021-11-30,2021-12-20,7,,2021-11-20,,2022-01-31
