"Campaign name","Ad name","Image, video and slideshow","Ad Set Name",Reach,Impressions,"Attribution setting","Result type",Results,"Amount spent (USD)",Starts,Ends,"Link clicks","Cost per result","Reporting starts","Unique link clicks","Reporting ends"
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (781205209944796)","Lookalikes (Emotional)",329,378,"7-day click or 1-day view","Meta Leads",2,24.778321401484,2021-11-30,2021-12-20,3,12.389160700742,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy (Emotional V3)",1783,1972,"7-day click or 1-day view","Meta Leads",2,24.058133957602,2021-12-23,2022-01-04,4,12.029066978801,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Global Poverty (18-39)",2095,2255,"7-day click or 1-day view","Meta Leads",3,23.44,2022-01-07,2022-01-17,6,7.8133333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy (Emotional V3)",1966,2215,"7-day click or 1-day view","Meta Leads",3,23.35760593055,2021-12-23,2022-01-04,7,7.7858686435167,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Lookalikes (18-39)",1108,1209,"7-day click or 1-day view","Meta Leads",2,22.85,2022-01-07,2022-01-17,5,11.425,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Philanthropy (Factual)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (Factual)",702,759,"7-day click or 1-day view","Meta Leads",1,21.139354365819,2021-11-30,2021-12-08,2,21.139354365819,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (18-39)",2005,2139,"7-day click or 1-day view",,,20.98,2022-01-07,2022-01-17,5,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Global Poverty + Lookalikes (18-39)",652,769,"7-day click or 1-day view",,,20.47,2022-01-07,2022-01-17,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Lookalikes (Emotional)",354,387,"7-day click or 1-day view","Meta Leads",2,19.624510609172,2021-11-30,2021-12-20,7,9.8122553045859,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy + Lookalikes (18-39)",779,854,"7-day click or 1-day view","Meta Leads",1,19.41,2022-01-07,2022-01-17,5,19.41,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Animal Welfare (Factual)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual)",671,697,"7-day click or 1-day view",,,19.406233993015,2021-11-30,2021-12-08,3,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","Animal Welfare  + Lookalikes (18-39)",654,841,"7-day click or 1-day view","Meta Leads",2,18.6,2022-01-07,2022-01-17,5,9.3,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Philanthropy + Lookalikes (18-39)",1368,1483,"7-day click or 1-day view","Meta Leads",2,18.24,2022-01-07,2022-01-17,5,9.12,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Philanthropy (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Philanthropy (Factual)",247,349,"7-day click or 1-day view",,,18.229443239776,2021-11-30,2021-12-08,4,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Lookalikes (18-39)",948,1021,"7-day click or 1-day view","Meta Leads",2,17.73,2022-01-07,2022-01-17,6,8.865,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare  + Lookalikes (18-39)",592,708,"7-day click or 1-day view",,,17.54,2022-01-07,2022-01-17,5,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Global Poverty (Emotional V3)",1070,1138,"7-day click or 1-day view","Meta Leads",3,15.4,2021-12-23,2022-01-04,5,5.1333333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Climate Change (Factual)","gg_factual_short.mp4 (1298714567312091)","Climate Change (Factual)",576,607,"7-day click or 1-day view",,,14.997919671585,2021-11-30,2021-12-08,2,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","General Population (18-39)",1162,1325,"7-day click or 1-day view","Meta Leads",1,14.82,2022-01-07,2022-01-17,3,14.82,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Global Poverty + Lookalikes (18-39)",962,1112,"7-day click or 1-day view","Meta Leads",2,14.71,2022-01-07,2022-01-17,3,7.355,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Philanthropy (Emotional V3)",1324,1393,"7-day click or 1-day view","Meta Leads",2,14.67105839511,2021-12-23,2022-01-04,7,7.3355291975549,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1085039132312056)","Lookalikes (Emotional)",234,249,"7-day click or 1-day view","Meta Leads",1,14.490714616053,2021-11-30,2021-12-20,3,14.490714616053,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy (Emotional)",252,331,"7-day click or 1-day view","Meta Leads",2,13.567670720409,2021-11-30,2021-12-20,5,6.7838353602045,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (Factual V3)",566,796,"7-day click or 1-day view","Meta Leads",1,13.53,2021-12-23,2022-01-04,6,13.53,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (Factual V3)",475,680,"7-day click or 1-day view",,,13.13,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872565799632641)","Philanthropy (Factual V2)",200,227,"7-day click or 1-day view","Meta Leads",1,11.325348160466,2021-12-08,2021-12-20,2,11.325348160466,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Lookalikes (Emotional V3)",479,500,"7-day click or 1-day view","Meta Leads",1,10.53,2021-12-23,2022-01-04,4,10.53,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)","Lookalikes (Emotional V3)",555,571,"7-day click or 1-day view","Meta Leads",1,9.88,2021-12-23,2022-01-04,2,9.88,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Philanthropy (18-39)",399,592,"7-day click or 1-day view","Meta Leads",2,9.56,2022-01-07,2022-01-17,2,4.78,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare (Emotional V3)",477,684,"7-day click or 1-day view",,,9.45,2021-12-23,2022-01-04,5,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Lookalikes (Factual)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (Factual)",143,149,"7-day click or 1-day view","Meta Leads",1,9.32,2021-11-30,2021-12-08,1,9.32,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872564422966112)","Climate Change (Factual V2)",182,213,"7-day click or 1-day view","Meta Leads",1,9.0035536343476,2021-12-08,2021-12-20,1,9.0035536343476,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","Auto_Cropped_AR_4_X_5_DCO_Free Effective Giving Guide 2021 (1084968595652443)","Global Poverty (Emotional)",302,359,"7-day click or 1-day view","Meta Leads",1,8.2771052324904,2021-11-30,2021-12-20,1,8.2771052324904,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy (18-39)",617,659,"7-day click or 1-day view","Meta Leads",1,8.19,2022-01-07,2022-01-18,2,8.19,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Lookalikes (Emotional)",139,146,"7-day click or 1-day view","Meta Leads",1,8.0159270769743,2021-11-30,2021-12-20,2,8.0159270769743,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4 (241882167890419)","Climate Change (Emotional)",165,244,"7-day click or 1-day view",,,7.8130985915493,2021-11-30,2021-12-20,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872566226299265)","Animal Welfare (Factual V2)",177,196,"7-day click or 1-day view",,,7.7844217198195,2021-12-08,2021-12-20,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy + Lookalikes (18-39)",441,478,"7-day click or 1-day view","Meta Leads",1,7.48,2022-01-07,2022-01-17,1,7.48,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Global Poverty (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Global Poverty (Factual)",133,166,"7-day click or 1-day view","Meta Leads",1,7.39,2021-11-30,2021-12-08,2,7.39,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Animals.m4v (3000441363603721)","Animal Welfare (Emotional V3)",417,423,"7-day click or 1-day view",,,6.22,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Animal Welfare (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)","Animal Welfare (Factual)",98,129,"7-day click or 1-day view","Meta Leads",2,6.1887989910749,2021-11-30,2021-12-08,2,3.0943994955374,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V3_gg_factual_short.mp4 (894866064555487)","Philanthropy (Factual V2)",90,101,"7-day click or 1-day view","Meta Leads",1,6.1509224231506,2021-12-08,2021-12-20,1,6.1509224231506,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892970160925538)","Climate Change (18-39)",185,264,"7-day click or 1-day view",,,6.04,2022-01-07,2022-01-17,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy (Emotional V3)",276,391,"7-day click or 1-day view",,,5.8343977110157,2021-12-23,2022-01-04,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Climate Change (18-39)",240,369,"7-day click or 1-day view","Meta Leads",2,5.77,2022-01-07,2022-01-17,3,2.885,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Global Poverty (Factual)","gg_factual_short.mp4 (1298714567312091)","Global Poverty (Factual)",240,246,"7-day click or 1-day view",,,5.64,2021-11-30,2021-12-08,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_gg_factual_short.mp4 (2960025267645896)","Philanthropy (Factual V2)",113,126,"7-day click or 1-day view","Meta Leads",1,5.5670378068778,2021-12-08,2021-12-20,1,5.5670378068778,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_gg_factual_short.mp4 (2960025800979176)","Animal Welfare (Factual V2)",95,111,"7-day click or 1-day view",,,5.5545615626583,2021-12-08,2021-12-20,,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Global Poverty (Emotional)",147,168,"7-day click or 1-day view",,,5.3281365808181,2021-11-30,2021-12-20,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Global Poverty (Emotional V3)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Global Poverty (Emotional V3)",504,568,"7-day click or 1-day view",,,5.22,2021-12-23,2022-01-04,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","New Giving Guide Video Ad Filmed Factual Short.m4v (235565945256052)","Philanthropy (Factual V3)",538,578,"7-day click or 1-day view","Meta Leads",1,5.04,2021-12-23,2022-01-04,4,5.04,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","Auto_Cropped_AR_4_X_5_DCO_V2_ggwc_emotional_set_1 (1).mp4 (318096083501671)","Animal Welfare (Emotional V3)",197,314,"7-day click or 1-day view","Meta Leads",1,5.02,2021-12-23,2022-01-04,1,5.02,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_2 (1).mp4 (241964264548876)","Lookalikes (Emotional)",85,86,"7-day click or 1-day view",,,5.003699798361,2021-11-30,2021-12-20,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Climate Change (18-39)",186,278,"7-day click or 1-day view","Meta Leads",1,4.87,2022-01-07,2022-01-17,3,4.87,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","General Population (18-39)",244,343,"7-day click or 1-day view",,,4.79,2022-01-07,2022-01-17,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V3_gg_factual_short.mp4 (894866491222111)","Animal Welfare (Factual V2)",78,87,"7-day click or 1-day view","Meta Leads",1,4.6304753714023,2021-12-08,2021-12-20,3,4.6304753714023,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)","Animal Welfare (Emotional V3)",271,315,"7-day click or 1-day view",,,4.54,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","General Population (18-39)",137,200,"7-day click or 1-day view",,,4.09,2022-01-07,2022-01-17,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Global Poverty (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872564249632796)","Global Poverty (Factual V2)",71,79,"7-day click or 1-day view",,,4.0557793190168,2021-12-08,2021-12-20,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare  + Lookalikes (18-39)",230,261,"7-day click or 1-day view",,,3.9,2022-01-07,2022-01-17,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Lookalikes (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2872565282966026)","Lookalikes (Factual V2)",87,90,"7-day click or 1-day view",,,3.8164984096252,2021-12-08,2021-12-20,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","New Giving Guide Video Ad Filmed Factual Short.m4v (235565945256052)","Animal Welfare (Factual V3)",361,389,"7-day click or 1-day view","Meta Leads",2,3.7802829341317,2021-12-23,2022-01-04,3,1.8901414670659,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v (448955280029775)","Philanthropy (Emotional V3)",149,194,"7-day click or 1-day view",,,3.7027910001301,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_V3_gg_factual_short.mp4 (894864751222285)","Climate Change (Factual V2)",77,85,"7-day click or 1-day view","Meta Leads",1,3.6395211239067,2021-12-08,2021-12-20,1,3.6395211239067,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Lookalikes (18-39)",225,237,"7-day click or 1-day view",,,3.59,2022-01-07,2022-01-17,1,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","Auto_Cropped_AR_4_X_5_DCO_gg_factual_short.mp4 (2960024004312689)","Climate Change (Factual V2)",86,93,"7-day click or 1-day view",,,3.3387342541623,2021-12-08,2021-12-20,,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Climate Change (Emotional)",77,108,"7-day click or 1-day view",,,3.2913052965681,2021-11-30,2021-12-20,2,,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Retargeting (Emotional)",44,92,"7-day click or 1-day view","Meta Leads",1,3.0467967145791,2021-12-03,2021-12-20,3,3.0467967145791,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892970210925533)","General Population (18-39)",145,189,"7-day click or 1-day view",,,2.99,2022-01-07,2022-01-17,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (797159631682687)","Animal Welfare (Emotional V3)",196,311,"7-day click or 1-day view",,,2.85,2021-12-23,2022-01-04,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Global Poverty (18-39)",302,327,"7-day click or 1-day view",,,2.84,2022-01-07,2022-01-17,,,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (18-39)",100,121,"7-day click or 1-day view",,,2.7,2022-01-07,2022-01-18,,,2021-11-20,,2022-01-31
